EvaluationTime,Gender,RestaurantName,MenuName,Taste,Plating,AmbienceDate,AmbienceFamily,AmbienceAlone,AmbienceAlcohol,AmbienceFriend,Service,Cleanness,Cost
2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,,,2,,,1,2,3
2023/11/21 8:28:33 오후 GMT+9,2,88식당,대창덮밥,1,1,0,1,,,4,3,1,1
2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,,,,2,,4,,,3
2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,,,2,3,4,1,1,4
2023/11/23 7:14:26 오후 GMT+9,2,고기듬뿍대왕비빔밥,꿀갈비비빔밥,3,1,,,2,,4,2,2,3
2023/11/28 11:43:44 오후 GMT+9,1,길가네국밥,돼지국밥,2,,,,2,,,,,4
2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,,,2,,4,3,,3
2023/11/21 9:58:17 오후 GMT+9,1,꽃뚜껑,삼겹살,3,1,,,,,4,2,2,3
2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,,,2,,4,1,2,3
2023/11/23 7:15:01 오후 GMT+9,2,돈까스에빠지다,돈까스,2,1,,,2,,4,1,2,3
2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,,,,,,4,,,3
2023/11/21 7:42:44 오후 GMT+9,2,돈까스에빠지다,치즈돈까스반상,2,1,,,,,4,2,2,4
2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,,,2,3,4,1,1,4
2023/11/22 8:58:41 오전 GMT+9,2,돈우리,차돌된장찌개,1,,,,2,,4,,,4
2023/11/22 9:13:30 오전 GMT+9,2,돈우리,차돌된장찌개,3,,,,,,4,,,3
2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,,1,2,,4,2,2,3
2023/11/28 11:50:36 오후 GMT+9,1,돈우리,차돌된장찌개,2,1,,,2,,4,,,
2023/11/23 7:13:27 오후 GMT+9,2,동궁찜닭,황금찜닭,2,1,,1,,,4,2,2,3
2023/11/28 11:45:48 오후 GMT+9,1,동궁찜닭,황금찜닭,2,1,0,,,,4,1,,3
2023/11/22 11:38:29 오전 GMT+9,1,로키맥주,가라야게,1,1,0,,,3,4,1,1,3
