,EvaluationTime,Gender,RestaurantName,MenuName,Taste,Plating,AmbienceDate,AmbienceFamily,AmbienceAlone,AmbienceAlcohol,AmbienceFriend,Service,Cleanness,Cost
0,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
1,2023/11/21 7:48:04 오후 GMT+9,2,해피치즈스마일,로제떡볶이,1,2,0,9,9,9,4,1,2,4
2,2023/11/23 7:15:01 오후 GMT+9,2,돈까스에빠지다,돈까스,2,1,9,9,2,9,4,1,2,3
3,2023/11/21 7:40:51 오후 GMT+9,2,손시스시,손시스시A,1,1,0,9,9,9,4,2,3,3
4,2023/11/28 11:46:45 오후 GMT+9,1,몽짬뽕,몽짬뽕,1,9,9,9,9,9,4,9,9,3
5,2023/11/28 11:45:11 오후 GMT+9,1,돈까스에빠지다,돈까스,1,9,9,9,9,9,4,9,9,3
6,2023/11/22 8:59:12 오전 GMT+9,2,장군찜닭,제육볶음,1,9,9,9,9,9,4,9,9,3
7,2023/11/22 12:12:29 오전 GMT+9,2,자야,매콤크림우동,1,1,0,9,9,9,4,1,2,3
8,2023/11/23 7:13:56 오후 GMT+9,2,도리집,도리덮밥,3,1,9,9,2,9,4,1,2,3
9,2023/11/21 8:30:22 오후 GMT+9,1,1058면,갈비동,3,1,9,9,2,9,9,1,2,3
10,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
11,2023/11/28 11:47:11 오후 GMT+9,1,백정육회,육회,1,1,9,9,9,9,9,9,9,9
12,2023/11/28 11:43:06 오후 GMT+9,1,가보뚝배기,뚝배기,1,9,9,9,2,9,4,9,9,3
13,2023/11/22 11:38:29 오전 GMT+9,1,로키맥주,가라야게,1,1,0,9,9,3,4,1,1,3
14,2023/11/21 11:24:21 오후 GMT+9,2,에이바이트키친,항정살덮밥,1,1,0,9,9,9,4,2,2,3
15,2023/11/21 8:02:03 오후 GMT+9,1,돈우리,차돌된장찌개,3,1,9,9,2,3,4,1,1,4
16,2023/11/28 11:48:43 오후 GMT+9,1,길가네국밥,돼지국밥,3,1,9,9,2,9,4,3,9,3
17,2023/11/20 8:59:22 오후 GMT+9,1,영대 학식,영대 돈까스,1,9,9,9,2,9,4,9,9,4
18,2023/11/22 8:58:02 오전 GMT+9,2,경산소찌개,소찌개,1,1,9,9,2,3,4,1,1,4
19,2023/11/23 7:12:59 오후 GMT+9,2,돈우리,차돌된장찌개,3,1,9,1,2,9,4,2,2,3
20,2023/11/21 8:39:28 오후 GMT+9,2,에이바이트키친,상하이크림파스타,1,1,9,9,9,9,4,1,2,3
21,2023/11/28 11:45:44 오후 GMT+9,1,후라이드참잘하는집,후라이드치킨,1,9,9,9,9,9,9,9,9,4
